전자제품,세탁기,870000,1,870000
전자제품,김치냉장고,635000,1,635000,
전자제품,에어컨,1690000,1,1690000,
전자제품,선풍기,99000,1,99000,
전자제품,공기청정기,859000,1,859000,
전자제품,가습기,169000,1,169000,
전자제품,FHD TV, 480000,1,480000,
전자제품,UHD TV,799000,1,7999000,
전자제품,SUHD TV,1490000,1,1490000,
전자제품,미니빔,509000,1,509000,
전자제품,LG그램노트북,1300000,1,1300000,
전자제품,HP노트북,620000,1,620000,
전자제품,삼성노트북,1970000,1,1970000,
전자제품,애플맥북,2500000,1,2500000,
전자제품,DSLR,888000,1,888000,
전자제품,캐논카메라,370000,1,370000,
전자제품,소니카메라,710000,1,710000,
전자제품,파나소닉카메라,600000,1,600000,
전자제품,로지텍액션캠,249000,1,249000,
전자제품,소니액션캠,429000,1,429000,
전자제품,소니캠코더,649000,1,649000,
전자제품,아이폰11,990000,1,990000,
전자제품,아이폰11Max,1760000,1,1760000,
전자제품,갤럭시S10,590000,1,590000,
전자제품,갤럭시S10플러스,1169000,1,1169000,
전자제품,LGG8,697000,1,697000,
전자제품,갤럭시워치,320000,1,320000,
전자제품,삼성프린터,159000,1,159000,
전자제품,캐논프린터,229000,1,229000,
전자제품,에어팟프로,329000,1,329000,
전자제품,갤럭시버즈,145000,1,145000,
전자제품,에어팟2세대,215000,1,215000,
